pub_id,a_lead_id,a_contributing_id,a_year,a_date,a_publisher,a_pub_name,a_doi,a_isxn,a_scopus
1,145,,2014,,"5th International Conference on Applied Human Factors and Ergonomics, and the Affiliated Conferences, AHFE 2014",Advances in The Ergonomics in Manufacturing: Managing the Enterprise of the Future,,,
1,146,,,,"5th International Conference on Applied Human Factors and Ergonomics, and the Affiliated Conferences, AHFE 2014",Advances in The Ergonomics in Manufacturing: Managing the Enterprise of the Future,,,
2,146,,2014,,,"Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,
2,84,,,,,"Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,
2,91,,,,,"Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,
2,117,,,,,"Proceedings of the 5th AHFE Conference, July 19-23, 2014, Krakow, Poland",,,
3,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2",,,
3,1,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2",,,
3,15,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2",,,
3,85,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2",,,
3,135,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2",,,
4,147,,2015,,,Environmental Science and Technology. Vol. 49 (14),10.1021/acs.est.5b00815,,
4,9,,,,,Environmental Science and Technology. Vol. 49 (14),10.1021/acs.est.5b00815,,
4,68,,,,,Environmental Science and Technology. Vol. 49 (14),10.1021/acs.est.5b00815,,
4,94,,,,,Environmental Science and Technology. Vol. 49 (14),10.1021/acs.est.5b00815,,
5,147,,2016,,,Philippine Engineering Journal,,,
5,149,,,,,Philippine Engineering Journal,,,
5,152,,,,,Philippine Engineering Journal,,,
21,145,,2015,,,Procedia Manufacturing 3. 1854-1860.,10.1016/j.promfg.2015.07.226.,,
21,49,,,,,Procedia Manufacturing 3. 1854-1860.,10.1016/j.promfg.2015.07.226.,,
21,53,,,,,Procedia Manufacturing 3. 1854-1860.,10.1016/j.promfg.2015.07.226.,,
21,55,,,,,Procedia Manufacturing 3. 1854-1860.,10.1016/j.promfg.2015.07.226.,,
21,127,,,,,Procedia Manufacturing 3. 1854-1860.,10.1016/j.promfg.2015.07.226.,,
22,145,,2015,,,Procedia Manufacturing 3. 5927-5933,10.1016/j.promfg.2015.07.679.,,
22,54,,,,,Procedia Manufacturing 3. 5927-5933,10.1016/j.promfg.2015.07.679.,,
22,64,,,,,Procedia Manufacturing 3. 5927-5933,10.1016/j.promfg.2015.07.679.,,
22,84,,,,,Procedia Manufacturing 3. 5927-5933,10.1016/j.promfg.2015.07.679.,,
22,109,,,,,Procedia Manufacturing 3. 5927-5933,10.1016/j.promfg.2015.07.679.,,
23,145,,2015,,,Procedia Manufacturing 3. 1812-1816,10.1016/j.promfg.2015.07.220.,,
23,3,,,,,Procedia Manufacturing 3. 1812-1816,10.1016/j.promfg.2015.07.220.,,
23,77,,,,,Procedia Manufacturing 3. 1812-1816,10.1016/j.promfg.2015.07.220.,,
23,87,,,,,Procedia Manufacturing 3. 1812-1816,10.1016/j.promfg.2015.07.220.,,
24,145,,2015,,,Procedia Manufacturing 3. 1503-1510,10.1016/j.promfg.2015.07.399.,,
24,55,,,,,Procedia Manufacturing 3. 1503-1510,10.1016/j.promfg.2015.07.399.,,
24,123,,,,,Procedia Manufacturing 3. 1503-1510,10.1016/j.promfg.2015.07.399.,,
24,134,,,,,Procedia Manufacturing 3. 1503-1510,10.1016/j.promfg.2015.07.399.,,
25,145,,2015,,,Procedia Manufacturing 3. 2848-2853,10.1016/j.promfg.2015.07.779.,,
25,42,,,,,Procedia Manufacturing 3. 2848-2853,10.1016/j.promfg.2015.07.779.,,
25,45,,,,,Procedia Manufacturing 3. 2848-2853,10.1016/j.promfg.2015.07.779.,,
25,52,,,,,Procedia Manufacturing 3. 2848-2853,10.1016/j.promfg.2015.07.779.,,
25,67,,,,,Procedia Manufacturing 3. 2848-2853,10.1016/j.promfg.2015.07.779.,,
26,145,,2016,,,"Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 491",,,
26,152,,,,,"Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 491",,,
