pub_id,p_author_id,p_pres_year,p_conf,p_loc,p_date_range,p_start_date,p_end_date,p_add_info
6,146,2015,6th AHFE Conference,"Las Vegas, NV","July 27-30, 2015",2015-07-27,2015-07-30,
6,126,2015,6th AHFE Conference,"Las Vegas, NV","July 27-30, 2015",2015-07-27,2015-07-30,
7,145,2016,PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,
8,145,2018,PCA Colloqium,"UPD Quezon City, Philippines","November 12, 2018",2018-11-12,2018-11-12,
9,147,2017,"ISIE-ISSST 2017: Science in Support of Sustainable and Resilient Communities, ","Chicago, IL, USA. ","June 25-29, 2017",2017-06-25,2017-06-29,
10,147,2017,COE PCA Colloqium,"UPD Quezon City, Philippines","November 13-17, 2017",2017-11-13,2017-11-17,
113,145,2016,COE PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,"Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 491"
113,152,2016,COE PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,"Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 491"
113,153,2016,COE PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,"Advances in Safety Management and Human Factors, Advances in Intelligent Systems and Computing 491"
114,145,2017,The 2nd Asian Conference on Ergonomics and Design 2017,"Tsudanuma Campus, Nihon University, Chiba, Japan ","June 1-4, 2017",2017-06-01,2017-06-04,"The Japanese Journal of Ergonomics, Vol. 53, Issue Supplement 2"
115,145,2017,PCA Colloquim,"UPD Quezon City, Philippines","November 13-17, 2017",2017-11-13,2017-11-17,
116,155,2014,22nd International Input-output Conference,"Lisbon, Portugal","July 14-18, 2014",2014-07-14,2014-07-18,
116,162,2014,22nd International Input-output Conference,"Lisbon, Portugal","July 14-18, 2014",2014-07-14,2014-07-18,
116,163,2014,22nd International Input-output Conference,"Lisbon, Portugal","July 14-18, 2014",2014-07-14,2014-07-18,
117,155,2014,7th ASEAN Environmental Engineering Conference,"Puerto Princesa, Palawan, Philippines","November 21-22, 2014",2014-11-21,2014-11-22,
117,162,2014,7th ASEAN Environmental Engineering Conference,"Puerto Princesa, Palawan, Philippines","November 21-22, 2014",2014-11-21,2014-11-22,
118,155,2015,4th World Risk Congress,"Singapore, Singapore","July 19-22, 2015",2015-07-19,2015-07-22,
118,162,2015,4th World Risk Congress,"Singapore, Singapore","July 19-22, 2015",2015-07-19,2015-07-22,
118,163,2015,4th World Risk Congress,"Singapore, Singapore","July 19-22, 2015",2015-07-19,2015-07-22,
119,155,2015,Society of Risk Analysis Annual Meeting,"Arlington, Virginia, United States of America","December 6-10, 2015",2015-12-06,2015-12-10,
119,163,2015,Society of Risk Analysis Annual Meeting,"Arlington, Virginia, United States of America","December 6-10, 2015",2015-12-06,2015-12-10,
120,155,2016,Institute of Industrial and Systems Engineers Annual Conference and Expo,"Anaheim, California, United States of America","May 21-24, 2016",2016-05-21,2016-05-24,
120,164,2016,Institute of Industrial and Systems Engineers Annual Conference and Expo,"Anaheim, California, United States of America","May 21-24, 2016",2016-05-21,2016-05-24,
120,165,2016,Institute of Industrial and Systems Engineers Annual Conference and Expo,"Anaheim, California, United States of America","May 21-24, 2016",2016-05-21,2016-05-24,
121,155,2016,PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,
121,163,2016,PCA Colloqium,"UPD Quezon City, Philippines","November 7-11, 2016",2016-11-07,2016-11-11,
122,155,2017,Society of Risk Analysis Annual Meeting,"Arlington, Virginia, United States of America","December 10-14, 2017",2017-12-10,2017-12-14,
122,163,2017,Society of Risk Analysis Annual Meeting,"Arlington, Virginia, United States of America","December 10-14, 2017",2017-12-10,2017-12-14,
123,155,2017,PCA Colloqium,"UPD Quezon City, Philippines","November 13-17, 2017",2017-11-13,2017-11-17,
123,164,2017,PCA Colloqium,"UPD Quezon City, Philippines","November 13-17, 2017",2017-11-13,2017-11-17,
123,165,2017,PCA Colloqium,"UPD Quezon City, Philippines","November 13-17, 2017",2017-11-13,2017-11-17,
124,155,2018,Society of Risk Analysis Annual Meeting,"New Orleans, Louisiana, United States of America","December 2-6, 2018",2018-12-02,2018-12-06,
124,163,2018,Society of Risk Analysis Annual Meeting,"New Orleans, Louisiana, United States of America","December 2-6, 2018",2018-12-02,2018-12-06,
125,155,2018,PCA Colloqium,"UPD Quezon City, Philippines","November 12, 2018",2018-11-12,2018-11-12,
125,49,2018,PCA Colloqium,"UPD Quezon City, Philippines","November 12, 2018",2018-11-12,2018-11-12,
125,53,2018,PCA Colloqium,"UPD Quezon City, Philippines","November 12, 2018",2018-11-12,2018-11-12,
125,55,2018,PCA Colloqium,"UPD Quezon City, Philippines","November 12, 2018",2018-11-12,2018-11-12,
126,148,2014,PCA Colloqium,"UPD Quezon City, Philippines","August 29, 2014",2014-08-29,2014-08-29,
127,148,2015,6th International Conference on Applied Human Factors and Ergonomics (AHFE 2015),"Caesars Palace, Las Vegas, United States of America","July 26 - 30, 2015",2015-07-26,2015-07-30,
