pub_id,a_lead_id,author_name
1,145,
1,146,
2,146,
2,84,
2,91,
2,117,
3,145,
3,1,
3,15,
3,85,
3,135,
4,147,
4,9,
4,68,
4,94,
5,147,
5,149,
5,152,
21,145,
21,49,
21,53,
21,55,
21,127,
22,145,
22,54,
22,64,
22,84,
22,109,
23,145,
23,3,
23,77,
23,87,
24,145,
24,55,
24,123,
24,134,
25,145,
25,42,
25,45,
25,52,
25,67,
26,145,
26,152,
26,153,
27,145,
27,32,
27,129,
28,145,
28,95,
28,100,
28,136,
29,145,
29,46,
29,56,
29,70,
30,145,
30,60,
30,96,
30,101,
31,145,
31,2,
31,8,
31,41,
31,93,
32,145,
32,29,
32,76,
32,81,
33,145,
34,145,
34,21,
34,22,
34,47,
34,137,
35,145,
35,13,
35,42,
35,74,
36,145,
36,12,
36,24,
36,119,
37,145,
37,65,
37,105,
37,108,
38,145,
38,147,
38,152,
38,35,
38,63,
39,145,
39,152,
39,153,
40,145,
40,27,
40,66,
40,92,
40,107,
41,145,
41,57,
41,98,
41,120,
42,148,
42,113,
43,148,
43,25,
44,148,
44,107,
45,148,
45,113,
46,148,
47,148,
47,43,
47,114,
47,115,
48,148,
48,4,
48,7,
49,148,
49,23,
49,153,
50,146,
50,33,
50,88,
50,111,
51,145,
51,146,
52,146,
52,31,
52,34,
52,69,
52,71,
52,80,
52,132,
52,140,
53,146,
53,31,
53,34,
53,69,
53,71,
53,80,
53,103,
53,140,
54,146,
54,126,
55,146,
55,153,
55,75,
56,146,
56,153,
56,122,
57,146,
57,58,
57,118,
57,144,
58,146,
58,153,
59,146,
59,78,
59,104,
60,147,
60,149,
60,152,
61,149,
61,102,
62,150,
62,128,
62,142,
63,150,
63,128,
63,142,
64,150,
64,37,
64,139,
64,141,
64,142,
65,150,
65,48,
66,150,
67,150,
67,51,
68,150,
68,40,
69,150,
70,150,
70,11,
71,150,
72,150,
72,79,
73,151,
74,148,
74,149,
74,152,
75,145,
75,152,
75,153,
75,6,
76,148,
76,152,
76,44,
77,145,
77,148,
77,152,
77,35,
77,63,
78,152,
78,131,
79,148,
79,152,
79,17,
80,152,
80,17,
80,110,
80,130,
81,145,
81,152,
81,153,
82,153,
82,72,
83,153,
84,153,
84,121,
85,153,
85,14,
85,75,
86,146,
86,153,
86,121,
87,153,
87,97,
88,146,
88,153,
88,75,
89,145,
89,152,
89,153,
90,153,
90,59,
91,153,
91,86,
92,153,
92,127,
93,153,
93,75,
94,153,
94,28,
95,153,
96,154,
97,154,
98,154,
99,148,
99,20,
99,89,
100,148,
100,9,
100,68,
100,73,
100,94,
100,138,
101,148,
101,9,
101,68,
101,94,
102,148,
102,9,
102,68,
102,94,
102,143,
103,148,
103,26,
104,148,
104,39,
105,148,
105,106,
106,148,
106,152,
106,17,
107,148,
107,152,
107,35,
108,152,
108,62,
108,83,
108,90,
108,133,
109,148,
109,30,
109,36,
109,38,
109,124,
110,148,
110,10,
110,18,
110,19,
111,148,
111,16,
111,50,
111,61,
111,99,
111,112,
112,148,
112,44,
112,83,
