pub_id,user_id,tag_id,pub_title,pub_last_upd,pub_delete_ind,modified_by
1,4,5,A Comparison of the Usability of Locally-Produced and Commercially- Acquired Telemedicine Device for Filipino Health Workers,,FALSE,
2,5,5,Eye tracking study: Overhead menu board and its effect on consumer purchase,,FALSE,
3,4,5,Ergonomic Assessment of Street Warning Signs for the Visually Impaired in Metro Manila,,FALSE,
4,6,2,Regional variability and uncertainty of electric vehicle life cycle CO2 emissions across the United States.,,FALSE,
5,6,3,Improving the Minahang Bayan Declaration Process: A First Step Towards Achieving Sustainability in Philippine Small-Scale Gold Mining Industry.,,FALSE,
6,5,8,Improving Manufacturing Lead Time (MLT) for a thread manufacturing firm using time and motion principles,,FALSE,
7,4,10,Self-reported Body Discomfort of Small Scale Gold Miners in the Philippines,,FALSE,
8,4,10,Development of Assessment of Work-related Musculoskeletal Symptoms among University Faculty Members in the Philippines,,FALSE,
9,6,8,"Sustainability Planning Platform Using QFD, TRIZ, and Life Cycle Analysis. ",,FALSE,
10,6,10,"Cost, CO2, and PM10 Implications of Wind Energy in the Philippines from 2015-2016. ",,FALSE,
11,6,11,"Life Cycle Cost-Benefit Analysis of Wind Energy in the Philippines.""",,FALSE,
12,5,11,Usability Evaluation of RxBox (Telemedicine Project),,FALSE,
13,5,11,Usability Evaluation of CloudTop (Learning Management System),,FALSE,
14,4,11,Study on Innovative Strategies to Increase the Productivity in the DOST Central Office,,FALSE,
15,4,11,Project G: The Gold and Copper Chase - Life Cycle Analysis of Sustainable Small-Scale Production System,,FALSE,
16,5,12,Journal of Medical Internet Research,,FALSE,
17,5,12,Southeast Asian Network of Ergonomics Societies (SEANES) Conference 2018,,FALSE,
18,6,12,Transportation Resesarch Board Annual Meeting 2014,,FALSE,
19,6,12,"Carnegie Mellon University Vehicle Electrification Group Research Meeting. Pittsburgh, PA. 18 Oct 2014",,FALSE,
20,6,12,"ISIE-ISSST 2017: Science in Support of
Sustainable and Resilient Communities, Chicago, IL, USA. 25-29 June 2017",,FALSE,
21,4,5,Risk Assessment on Filipino Construction Workers,,FALSE,
22,4,5,A Comparative Analysis of the Ergonomic Anthropometry and Usability of Locally Designed and Foreign Designed Smartphones,,FALSE,
23,4,5,"Designing an Ergonomic Chair for Pedicurists and Manicurists in Quezon City, Philippines,",,FALSE,
24,4,5,An Evaluation of the Effect of Various Voice Qualities on Memory Retention,,FALSE,
25,4,5,Assessment of Occupational Hazards Contributing to Work-related Musculoskeletal Disorder of Filipino Pedicab Drivers,,FALSE,
26,4,5,Work-related musculoskeletal symptoms among small scale gold miners and extraction workers in the Philippines,,FALSE,
27,4,5,A comparative study on the usability of different educational platforms used by instructors in the University of the Philippines,,FALSE,
28,4,5,Postural analysis and assessment of perceived musculoskeletal pain of cleaners in the Philippines,,FALSE,
29,4,5,"Ergonomic assessment of environmental conditions in public elementary school classrooms in Quezon City, Philippines",,FALSE,
30,4,5,An Assessment of the Occupational Noise Exposure of Toll Tellers Along the North Luzon Expressway,,FALSE,
31,4,5,Ergonomic design of bathrooms for people with cerebral palsy in the Philippines,,FALSE,
32,4,5,Analysis of the detectability and conspicuity of fire extinguishers based on placement location in low to moderate hazard public spaces,,FALSE,
33,4,5,Association of Individual Risk Factors to Body Discomfort of Filipino Small Scale Gold Miners,,FALSE,
34,4,5,Ergonomic Assessment of the Point-to-point (P2P) Buses: Case of Passengers,,FALSE,
35,4,5,An Ergonomic Study on the Ideal Interior of Jeepneys Based on Anthropometric Measurements of Filipinos,,FALSE,
36,4,5,Visual Recognition Assessment of Road Barriers in Metro Manila,,FALSE,
37,4,5,Ergonomic Design and Assessment of Footbridges for Filipino Children and Elderly,,FALSE,
38,4,2,Life Cycle Energy Use and CO2 Emissions of Small-Scale Gold Mining and Refining Processes in the Philippines,,FALSE,
39,4,3,Association of Individual Risk Factors and Workplace Factors to Self-Reported Body Discomfort of Filipino Small-Scale Gold Miners,,FALSE,
40,4,5,Usability Evaluation of Ticketing System of Metro Manila Train Network,,FALSE,
41,4,5,An Ergonomic Analysis of the Traditional Sorbetes Cart,,FALSE,
42,7,2,A Comparative Study of Performance Between Operators with Work Discontinuity,,FALSE,
43,7,3,Shortening Assembly Time by Identifying its Components and Their Relationships,,FALSE,
44,7,2,Identifying Characteristics of Jobs of Front-line Personnel that Affect Abnormal Idle Time: A Case Study on a Popular Amusement Center in the Philippines,,FALSE,
45,7,2,Investigating the Effect on the Learning Curve of Performing Similar Work during the Break between Work Stints,,FALSE,
46,7,5,Academe-Industry Collaboration (poster),,FALSE,
47,7,2,Determination of Variables That Affect the Remission Rate of Sewing Operations in a Textile Company,,FALSE,
48,7,3,Inventory Control Heuristic for a Perishable Item Under Stochastic Demand and Restricted Batch Size,,FALSE,
49,7,3,A Proposal of a Demand Shifting Function to Address the Demand-Capacity Imbalance of Capacity-Constrained Systems that Shift Demand by Discount Setting.,,FALSE,
50,5,5,"Usability evaluation of the MOSES (Monitoring
and Operating System for Emergency Services) tablet",,FALSE,
51,5,5,A comparison of the usability of a locally-produced and commercially-acquired telemedicine device for Filipino health workers,,FALSE,
52,5,5,Communication Strategies for Venous Thromboembolism Prophylaxis,,FALSE,
53,5,5,"
Role Network Analysis of Venous Thromboembolism (VTE) Diagnosis in the Emergency Department",,FALSE,
54,5,5,Improving Manufacturing Lead Time (MLT) for a thread manufacturing firm using time and motion principles,,FALSE,
55,5,5,"Manpower Utilization in the Hotdog Meat
Processing Production of a Meat Processing Company",,FALSE,
56,5,5,Manpower Utilization in the Powder Coating Production of a Powder Coating Company,,FALSE,
57,5,5,Traffic Light Displays and Driver Behaviors: A Case Study,,FALSE,
58,5,3,Usability evaluation of a locally developed Leaning Management System (LMS): A case study using UCUE,,FALSE,
59,5,2,"Challenges for Older Drivers in Rural, Suburban and Urban Settings",,FALSE,
60,8,3,Improving the Minahang Bayan Declaration Process: A First Step Towards Achieving Sustainability in Philippine Small-Scale Gold Mining Industry,,FALSE,
61,8,3,Evaluating the Effectiveness of the Rapid Test Kit Used in the Field Monitoring of Iodine Content of Salt in the Philippine Market,,FALSE,
62,9,2,An Intelligent Decomposition of Pairwise Comparison Matrices for Large-Scale Decisions,,FALSE,
63,9,2,A stochastic AHP decision making methodology for imprecise preferences ,,FALSE,
64,9,2,Intervention strategies for the Department of Defense acquisition process ,,FALSE,
65,9,5,Prediction Model Framework for Imbalanced Datasets,,FALSE,
66,9,2,Developing the Manpower Complement for Business Analytics Service Professionals: A Case Study on the Challenges Faced by the Philippines,,FALSE,
67,9,3,A Group Decision Support System Framework for the Optimal Selection of Services from Assortments ,,FALSE,
68,9,3,A Stochastic Analytic Hierarchy Process-Based Methodology for Group Decision Making,,FALSE,
69,9,5,Manpower Complement for Business Analytics Service Professionals: A Case Study on the Challenges Faced by the Philippines ,,FALSE,
70,9,3,Sequential Multi-Period Group Decision Making Using a New Framework with AHP: A Case Study in Stocks Selection Problem,,FALSE,
71,9,5,A Framework for Call Center Decongestion Using Sequential Pattern Analysis,,FALSE,
72,9,5,An Analytic Hierarchy Process (AHP) Group Decision Making Methodology for Imprecise Preferences,,FALSE,
73,10,5,Minimizing Makespan in a Class of Two-Stage Chain Reentrant Hybrid Flow Shops,,FALSE,
