rank_id,rank_title,ranks_delete_ind,ranks_modified_by,ranks_last_upd
1,Instructor 1,FALSE,,
2,Instructor 2,FALSE,,
3,Instructor 3,FALSE,,
4,Instructor 4,FALSE,,
5,Instructor 5,FALSE,,
6,Instructor 6,FALSE,,
7,Instructor 7,FALSE,,
8,Teaching Associate,FALSE,,
9,Teaching Fellow,FALSE,,
10,Assistant Professor 1,FALSE,,
11,Assistant Professor 2,FALSE,,
12,Assistant Professor 3,FALSE,,
13,Assistant Professor 4,FALSE,,
14,Assistant Professor 5,FALSE,,
15,Assistant Professor 6,FALSE,,
16,Assistant Professor 7,FALSE,,
17,Associate Professor 1,FALSE,,
18,Associate Professor 2,FALSE,,
19,Associate Professor 3,FALSE,,
20,Associate Professor 4,FALSE,,
21,Associate Professor 5,FALSE,,
22,Associate Professor 6,FALSE,,
23,Associate Professor 7,FALSE,,
24,Professor 1,FALSE,,
25,Professor 2,FALSE,,
26,Professor 3,FALSE,,
27,Professor 4,FALSE,,
28,Professor 5,FALSE,,
29,Professor 6,FALSE,,
30,Professor 7,FALSE,,
31,Professor 8,FALSE,,
32,Professor 9,FALSE,,
33,Professor 10,FALSE,,
34,Professor 11,FALSE,,
35,Professor 12,FALSE,,
36,University Professor,FALSE,,
